OccurrenceYear,OccurrenceMonth,OccurrenceDatePart,IsWeekend,GridID,X_centroid,Y_centroid,PredictedNumberOfIncidents
2023,10,23,0,1,-111.97125452935708,33.33041669721434,1.7501035748144347
2023,10,24,0,1,-111.97125452935708,33.33041669721434,1.666695685618029
2023,10,25,0,1,-111.97125452935708,33.33041669721434,1.607221603762382
2023,10,27,1,1,-111.97125452935708,33.33041669721434,1.6669593025176679
2023,10,28,1,1,-111.97125452935708,33.33041669721434,1.8117651338323488
2023,10,30,0,1,-111.97125452935708,33.33041669721434,1.8123401195411735
2023,10,31,0,1,-111.97125452935708,33.33041669721434,1.4662675153474294
2023,11,1,0,1,-111.97125452935708,33.33041669721434,1.9138935645381476
2023,11,2,0,1,-111.97125452935708,33.33041669721434,1.9138935645381476
2023,11,3,1,1,-111.97125452935708,33.33041669721434,1.9129844900341826
2023,11,4,1,1,-111.97125452935708,33.33041669721434,1.9129844900341826
2023,11,6,0,1,-111.97125452935708,33.33041669721434,1.8564694156091532
2023,11,9,0,1,-111.97125452935708,33.33041669721434,1.8329139071092933
2023,11,10,1,1,-111.97125452935708,33.33041669721434,1.8519057280178088
2023,11,11,1,1,-111.97125452935708,33.33041669721434,1.8519057280178088
2023,11,12,1,1,-111.97125452935708,33.33041669721434,1.8519057280178088
2023,10,23,0,2,-111.97125452935708,33.35117007964291,2.3586148567556102
2023,10,24,0,2,-111.97125452935708,33.35117007964291,2.2752069675592046
2023,10,25,0,2,-111.97125452935708,33.35117007964291,2.2157328857035576
2023,10,26,0,2,-111.97125452935708,33.35117007964291,2.2157328857035576
2023,10,27,1,2,-111.97125452935708,33.35117007964291,2.2754705844588434
2023,10,28,1,2,-111.97125452935708,33.35117007964291,2.420276415773525
2023,10,31,0,2,-111.97125452935708,33.35117007964291,2.0747787972886043
2023,11,1,0,2,-111.97125452935708,33.35117007964291,2.544015857338521
2023,11,4,1,2,-111.97125452935708,33.35117007964291,2.543106782834556
2023,11,5,1,2,-111.97125452935708,33.35117007964291,2.543106782834556
2023,11,6,0,2,-111.97125452935708,33.35117007964291,2.486591708409527
2023,11,7,0,2,-111.97125452935708,33.35117007964291,2.4414251890504683
2023,11,8,0,2,-111.97125452935708,33.35117007964291,2.4414251890504683
2023,11,9,0,2,-111.97125452935708,33.35117007964291,2.4414251890504683
2023,11,10,1,2,-111.97125452935708,33.35117007964291,2.460417009958984
2023,11,11,1,2,-111.97125452935708,33.35117007964291,2.460417009958984
2023,11,12,1,2,-111.97125452935708,33.35117007964291,2.460417009958984
2023,10,23,0,3,-111.97125452935708,33.37192346207148,6.512417702772773
2023,10,24,0,3,-111.97125452935708,33.37192346207148,6.429009813576368
2023,10,25,0,3,-111.97125452935708,33.37192346207148,6.369535731720721
2023,10,26,0,3,-111.97125452935708,33.37192346207148,6.369535731720721
2023,10,27,1,3,-111.97125452935708,33.37192346207148,6.459715689129448
2023,10,28,1,3,-111.97125452935708,33.37192346207148,6.604521520444129
2023,10,29,1,3,-111.97125452935708,33.37192346207148,6.776233342670119
2023,10,30,0,3,-111.97125452935708,33.37192346207148,6.574654247499512
2023,10,31,0,3,-111.97125452935708,33.37192346207148,6.228581643305769
2023,11,1,0,3,-111.97125452935708,33.37192346207148,6.7326273877200995
2023,11,2,0,3,-111.97125452935708,33.37192346207148,6.7326273877200995
2023,11,3,1,3,-111.97125452935708,33.37192346207148,6.762160571869575
2023,11,4,1,3,-111.97125452935708,33.37192346207148,6.762160571869575
2023,11,5,1,3,-111.97125452935708,33.37192346207148,6.762160571869575
2023,11,6,0,3,-111.97125452935708,33.37192346207148,6.675203238791105
2023,11,7,0,3,-111.97125452935708,33.37192346207148,6.595228035067631
2023,11,8,0,3,-111.97125452935708,33.37192346207148,6.595228035067631
2023,11,9,0,3,-111.97125452935708,33.37192346207148,6.595228035067631
2023,11,10,1,3,-111.97125452935708,33.37192346207148,6.644662114629588
2023,11,11,1,3,-111.97125452935708,33.37192346207148,6.644662114629588
2023,11,12,1,3,-111.97125452935708,33.37192346207148,6.644662114629588
2023,10,23,0,4,-111.97125452935708,33.392676844500045,5.608929461819805
2023,10,24,0,4,-111.97125452935708,33.392676844500045,5.5255215726234
2023,10,25,0,4,-111.97125452935708,33.392676844500045,5.466047490767753
2023,10,26,0,4,-111.97125452935708,33.392676844500045,5.466047490767753
2023,10,27,1,4,-111.97125452935708,33.392676844500045,5.55622744817648
2023,10,28,1,4,-111.97125452935708,33.392676844500045,5.701033279491161
2023,10,29,1,4,-111.97125452935708,33.392676844500045,5.872745101717151
2023,10,30,0,4,-111.97125452935708,33.392676844500045,5.671166006546544
2023,10,31,0,4,-111.97125452935708,33.392676844500045,5.325093402352802
2023,11,1,0,4,-111.97125452935708,33.392676844500045,5.786703955867929
2023,11,2,0,4,-111.97125452935708,33.392676844500045,5.786703955867929
2023,11,3,1,4,-111.97125452935708,33.392676844500045,5.816237140017405
2023,11,4,1,4,-111.97125452935708,33.392676844500045,5.816237140017405
2023,11,5,1,4,-111.97125452935708,33.392676844500045,5.816237140017405
2023,11,6,0,4,-111.97125452935708,33.392676844500045,5.729279806938934
2023,11,7,0,4,-111.97125452935708,33.392676844500045,5.649304603215461
2023,11,8,0,4,-111.97125452935708,33.392676844500045,5.649304603215461
2023,11,9,0,4,-111.97125452935708,33.392676844500045,5.649304603215461
2023,11,10,1,4,-111.97125452935708,33.392676844500045,5.698738682777417
2023,11,11,1,4,-111.97125452935708,33.392676844500045,5.698738682777417
2023,11,12,1,4,-111.97125452935708,33.392676844500045,5.698738682777417
