GridID,geometry
33,"POLYGON ((-111.90627363257138 33.423806918142894, -111.90627363257138 33.44456030057147, -111.9207138318571 33.44456030057147, -111.9207138318571 33.423806918142894, -111.90627363257138 33.423806918142894))"
34,"POLYGON ((-111.90627363257138 33.44456030057147, -111.90627363257138 33.46531368300003, -111.9207138318571 33.46531368300003, -111.9207138318571 33.44456030057147, -111.90627363257138 33.44456030057147))"
35,"POLYGON ((-111.89183343328567 33.320040006000056, -111.89183343328567 33.34079338842862, -111.90627363257138 33.34079338842862, -111.90627363257138 33.320040006000056, -111.89183343328567 33.320040006000056))"
36,"POLYGON ((-111.89183343328567 33.34079338842862, -111.89183343328567 33.361546770857196, -111.90627363257138 33.361546770857196, -111.90627363257138 33.34079338842862, -111.89183343328567 33.34079338842862))"
37,"POLYGON ((-111.89183343328567 33.361546770857196, -111.89183343328567 33.38230015328576, -111.90627363257138 33.38230015328576, -111.90627363257138 33.361546770857196, -111.89183343328567 33.361546770857196))"
38,"POLYGON ((-111.89183343328567 33.38230015328576, -111.89183343328567 33.40305353571433, -111.90627363257138 33.40305353571433, -111.90627363257138 33.38230015328576, -111.89183343328567 33.38230015328576))"
39,"POLYGON ((-111.89183343328567 33.40305353571433, -111.89183343328567 33.423806918142894, -111.90627363257138 33.423806918142894, -111.90627363257138 33.40305353571433, -111.89183343328567 33.40305353571433))"
40,"POLYGON ((-111.89183343328567 33.423806918142894, -111.89183343328567 33.44456030057147, -111.90627363257138 33.44456030057147, -111.90627363257138 33.423806918142894, -111.89183343328567 33.423806918142894))"
41,"POLYGON ((-111.87739323399995 33.361546770857196, -111.87739323399995 33.38230015328576, -111.89183343328567 33.38230015328576, -111.89183343328567 33.361546770857196, -111.87739323399995 33.361546770857196))"
42,"POLYGON ((-111.87739323399995 33.38230015328576, -111.87739323399995 33.40305353571433, -111.89183343328567 33.40305353571433, -111.89183343328567 33.38230015328576, -111.87739323399995 33.38230015328576))"
43,"POLYGON ((-111.87739323399995 33.40305353571433, -111.87739323399995 33.423806918142894, -111.89183343328567 33.423806918142894, -111.89183343328567 33.40305353571433, -111.87739323399995 33.40305353571433))"
44,"POLYGON ((-111.87739323399995 33.423806918142894, -111.87739323399995 33.44456030057147, -111.89183343328567 33.44456030057147, -111.89183343328567 33.423806918142894, -111.87739323399995 33.423806918142894))"
